stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
69820,"Signpost India Ltd",SIGNPOST,"Miscellaneous",Small Cap,77.18,BUY,65.50,82.50,0.00,93.00,282.3,248.35,-12.03,-8.37
68332,"Medico Intercontinental Ltd",539938,"Pharmaceuticals",Small Cap,77.13,BUY,71.50,90.00,0.00,18.50,36.55,33.47,-8.43,-4.77
8008,"Shree Rama Multi-Tech Ltd",SHREERAMA,"Packaging",Small Cap,77.10,BUY,94.25,69.50,0.00,52.50,42.35,55.07,30.04,33.7
252,"Hindalco Industries Ltd",HINDALCO,"Non Ferrous Metals",Large Cap,77.09,BUY,72.25,79.00,0.00,85.50,704.65,936.9,32.96,36.62
2322,"Tata Elxsi Ltd",TATAELXSI,"IT - Software",Small Cap,77.06,BUY,77.75,87.50,0.00,7.00,5579.25,4577.6,-17.95,-14.29
640,"Bhagwati Autocast Ltd",504646,"Castings, Forgings & Fastners",Small Cap,77.05,BUY,80.75,77.00,0.00,61.50,366,552.5,50.96,54.62
27528,"Autoline Industries Ltd",AUTOIND,"Auto Ancillaries",Small Cap,77.04,BUY,63.75,95.00,0.00,18.50,73.68,77.9,5.73,9.39
21211,"Picturehouse Media Ltd",532355,"Entertainment",Small Cap,76.95,BUY,43.75,100.00,0.00,71.00,8.11,5.71,-29.59,-25.93
39936,"Pyramid Technoplast Ltd",PYRAMID,"Packaging",Small Cap,76.95,BUY,89.75,77.50,0.00,18.50,160.5,149.5,-6.85,-3.19
4940,"Kimia Biosciences Ltd",530313,"Pharmaceuticals",Small Cap,76.94,BUY,80.50,87.00,0.00,-3.00,37.38,32.26,-13.7,-10.04
4917,"Swojas Foods Ltd",530217,"FMCG",Small Cap,76.92,BUY,52.25,92.50,0.00,82.50,14.19,13.71,-3.38,0.28
6420,"CG-VAK Software & Exports Ltd",531489,"IT - Software",Small Cap,76.91,BUY,79.25,82.50,0.00,31.00,259.8,192.55,-25.89,-22.23
76044,"Radiant Cash Management Services Ltd",RADIANTCMS,"Miscellaneous",Small Cap,76.82,BUY,71.50,87.50,0.00,31.00,59.13,37.7,-36.24,-32.58
114,"Cipla Ltd",CIPLA,"Pharmaceuticals",Mid Cap,76.81,BUY,75.00,79.00,0.00,70.50,1592.3,1345.7,-15.49,-11.83
60,"Bata India Ltd",BATAINDIA,"Leather",Small Cap,76.70,BUY,62.00,95.00,0.00,22.00,1105.2,797.75,-27.82,-24.16
155,"Elgi Equipments Ltd",ELGIEQUIP,"Capital Goods-Non Electrical Equipment",Small Cap,76.69,BUY,84.00,82.50,0.00,8.00,499.2,544.7,9.11,12.77
13035,"ICRA Ltd",ICRA,"Credit Rating Agencies",Small Cap,76.69,BUY,82.50,80.00,0.00,30.50,6248.85,5673.2,-9.21,-5.55
5400,"Tata Consultancy Services Ltd",TCS,"IT - Software",Large Cap,76.68,BUY,74.50,87.50,0.00,16.50,3053.65,2629.5,-13.89,-10.23
2178,"Maharashtra Corporation Ltd",505523,"Trading",Small Cap,76.67,BUY,55.25,100.00,0.00,18.50,0.45,0.38,-15.56,-11.9
2226,"Timken India Ltd",TIMKEN,"Bearings",Small Cap,76.66,BUY,77.25,84.00,0.00,27.00,3008,3332.55,10.79,14.45
47716,"Computer Age Management Services Ltd",CAMS,"Financial Services",Small Cap,76.65,BUY,88.00,76.50,0.00,29.00,780.72,713.5,-8.61,-4.95
33432,"Expleo Solutions Ltd",EXPLEOSOL,"IT - Software",Small Cap,76.63,BUY,85.25,82.50,0.00,2.00,1052.9,768.95,-26.97,-23.31
